               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.079742,            0.024185,            0.083923,           0.0021247,             0.25353,           0.0053667,           0.0014946,            0.053017,            0.018543,             0.07323,            0.070084,            0.003324,            0.003324
                   1,            0.055123,            0.020666,            0.079347,             0.56363,             0.13087,             0.12089,            0.050618,            0.040849,            0.011061,            0.064437,            0.039996,           0.0065695,           0.0065695
                   2,            0.049156,            0.014875,            0.070367,             0.37799,             0.32205,             0.36944,             0.18586,            0.035534,           0.0072932,            0.051299,           0.0098198,            0.009727,            0.009727
                   3,            0.044826,            0.012268,            0.055218,             0.41579,              0.6659,             0.60627,             0.34779,            0.032243,           0.0058067,            0.034141,            0.009604,            0.009604,            0.009604
                   4,            0.042741,            0.010927,            0.040937,             0.85437,              0.5869,             0.78754,             0.44037,            0.032536,           0.0060229,            0.023117,            0.009604,            0.009604,            0.009604
                   5,            0.041407,            0.010276,            0.031229,             0.78841,             0.81429,             0.88146,             0.53032,            0.028543,           0.0056142,            0.015539,            0.009472,            0.009472,            0.009472
                   6,            0.040385,           0.0099348,            0.024373,             0.85996,             0.88548,             0.95038,             0.59089,            0.030028,           0.0056585,           0.0099087,             0.00934,             0.00934,             0.00934
                   7,            0.039299,           0.0095791,            0.019838,             0.87407,              0.9355,             0.96988,             0.63507,            0.026839,           0.0048566,           0.0074364,            0.009208,            0.009208,            0.009208
                   8,            0.037537,            0.009428,             0.01729,             0.93125,             0.92054,             0.97184,              0.6367,            0.025305,           0.0046777,           0.0060835,            0.009076,            0.009076,            0.009076
                   9,            0.036048,           0.0091378,            0.015313,             0.93544,             0.96408,             0.98182,              0.6415,            0.025188,           0.0047251,           0.0045466,            0.008944,            0.008944,            0.008944
                  10,            0.035056,           0.0089872,            0.013104,             0.95472,             0.96532,             0.98974,             0.68135,            0.023166,            0.004394,           0.0032301,            0.008812,            0.008812,            0.008812
                  11,             0.03464,           0.0089416,             0.01226,             0.96751,             0.95994,             0.98743,             0.65729,            0.025219,           0.0041883,           0.0031818,             0.00868,             0.00868,             0.00868
                  12,            0.033837,            0.008852,            0.011952,             0.94791,             0.95156,             0.98355,             0.67277,            0.023278,           0.0042024,           0.0035367,            0.008548,            0.008548,            0.008548
                  13,            0.032831,           0.0085155,            0.011305,             0.95848,             0.96777,             0.99016,             0.67456,            0.023136,           0.0040758,           0.0027206,            0.008416,            0.008416,            0.008416
                  14,            0.032164,           0.0084659,            0.010502,             0.96965,              0.9677,             0.99158,             0.69465,            0.023012,           0.0038719,           0.0025485,            0.008284,            0.008284,            0.008284
                  15,            0.031473,           0.0085601,           0.0099844,             0.96746,             0.97327,             0.99044,             0.68737,            0.020953,           0.0040559,           0.0021383,            0.008152,            0.008152,            0.008152
